person_slug,person_name,start_date,end_date,start_reason,end_reason,election_id,election,confirmed,source
george-burgess,George Burgess,1958-05-05,1961-05-01,elected,term_expired,127,Lerwick Town Council Election May 1958,0,
james-daniel,James Daniel,1958-05-05,1961-05-01,elected,term_expired,127,Lerwick Town Council Election May 1958,0,
james-tait,James Tait,1958-05-05,1958-06-24,elected,replaced,127,Lerwick Town Council Election May 1958,0,
magnus-sandison,Magnus Sandison,1958-05-05,1959-09-03,elected,replaced,127,Lerwick Town Council Election May 1958,0,
arthur-johnson,Arthur Johnson,1958-06-24,1959-05-04,by-election,term_expired,128,Lerwick Town Council By-Election June 1958,0,
andrew-nicolson,Andrew Nicolson,1959-05-04,1962-05-01,elected,term_expired,129,Lerwick Town Council Election May 1959,0,
arthur-johnson,Arthur Johnson,1959-05-04,1962-05-01,elected,term_expired,129,Lerwick Town Council Election May 1959,0,
robert-anderson-i,Robert Anderson (i),1959-05-04,1962-05-01,elected,term_expired,129,Lerwick Town Council Election May 1959,0,
robert-strachan,Robert Strachan,1959-05-04,1961-05-01,elected,term_expired,129,Lerwick Town Council Election May 1959,0,
william-conochie,William Conochie,1959-05-04,1962-05-01,elected,term_expired,129,Lerwick Town Council Election May 1959,0,
harry-gray,Harry Gray,1959-09-03,1960-05-02,by-election,term_expired,130,Lerwick Town Council By-Election September 1959,0,
alexander-morrison,Alexander Morrison,1960-05-02,1963-05-06,elected,term_expired,131,Lerwick Town Council Election May 1960,0,
eric-gray,Eric Gray,1960-05-02,1963-05-06,elected,term_expired,131,Lerwick Town Council Election May 1960,0,
harry-gray,Harry Gray,1960-05-02,1963-05-06,elected,term_expired,131,Lerwick Town Council Election May 1960,0,
james-daniel,James Daniel,1960-05-02,1962-08-07,elected,replaced,131,Lerwick Town Council Election May 1960,0,
james-paton-i,James Paton (i),1960-05-02,1964-05-04,elected,term_expired,131,Lerwick Town Council Election May 1960,0,
andrew-anderson,Andrew Anderson,1961-05-01,1964-05-04,elected,term_expired,132,Lerwick Town Council Election May 1961,0,
kenneth-thomson,Kenneth Thomson,1961-05-01,1961-05-05,elected,replaced,132,Lerwick Town Council Election May 1961,0,
peter-robertson,Peter Robertson,1961-05-01,1964-05-04,elected,term_expired,132,Lerwick Town Council Election May 1961,0,
william-conochie,William Conochie,1961-05-01,1964-05-04,elected,term_expired,132,Lerwick Town Council Election May 1961,0,
robert-strachan,Robert Strachan,1961-05-05,1962-05-01,by-election,term_expired,133,Lerwick Town Council By-Election May 1961,0,
andrew-nicolson,Andrew Nicolson,1962-05-01,1965-05-04,elected,term_expired,134,Lerwick Town Council Election May 1962,0,
arthur-johnson,Arthur Johnson,1962-05-01,1965-05-04,elected,term_expired,134,Lerwick Town Council Election May 1962,0,
james-paton-i,James Paton (i),1962-05-01,1965-05-04,elected,term_expired,134,Lerwick Town Council Election May 1962,0,
james-taylor,James Taylor,1962-05-01,1965-05-04,elected,term_expired,134,Lerwick Town Council Election May 1962,0,
robert-anderson-i,Robert Anderson (i),1962-05-01,1965-05-04,elected,term_expired,134,Lerwick Town Council Election May 1962,0,
magnus-shearer-ii,Magnus Shearer (ii),1962-08-07,1963-05-06,by-election,term_expired,135,Lerwick Town Council By-Election August 1962,0,
alexander-morrison,Alexander Morrison,1963-05-06,1966-05-03,elected,term_expired,136,Lerwick Town Council Election May 1963,0,
eric-gray,Eric Gray,1963-05-06,1966-05-03,elected,term_expired,136,Lerwick Town Council Election May 1963,0,
magnus-shearer-ii,Magnus Shearer (ii),1963-05-06,1966-05-03,elected,term_expired,136,Lerwick Town Council Election May 1963,0,
robert-adair,Robert Adair,1963-05-06,1966-05-03,elected,term_expired,136,Lerwick Town Council Election May 1963,0,
arthur-johnson,Arthur Johnson,1964-05-04,1967-05-02,elected,term_expired,137,Lerwick Town Council Election May 1964,0,
grace-halcrow,Grace Halcrow,1964-05-04,1967-05-02,elected,term_expired,137,Lerwick Town Council Election May 1964,0,
james-taylor,James Taylor,1964-05-04,1967-05-02,elected,term_expired,137,Lerwick Town Council Election May 1964,0,
peter-robertson,Peter Robertson,1964-05-04,1967-05-02,elected,term_expired,137,Lerwick Town Council Election May 1964,0,
andrew-nicolson,Andrew Nicolson,1965-05-04,1967-05-12,elected,replaced,138,Lerwick Town Council Election May 1965,0,
harry-gray,Harry Gray,1965-05-04,1968-05-02,elected,term_expired,138,Lerwick Town Council Election May 1965,0,
james-paton-i,James Paton (i),1965-05-04,1968-05-02,elected,term_expired,138,Lerwick Town Council Election May 1965,0,
robert-anderson-i,Robert Anderson (i),1965-05-04,1967-06-26,elected,died,138,Lerwick Town Council Election May 1965,0,
alexander-morrison,Alexander Morrison,1966-05-03,1969-05-06,elected,term_expired,139,Lerwick Town Council Election May 1966,0,
eric-gray,Eric Gray,1966-05-03,1969-05-06,elected,term_expired,139,Lerwick Town Council Election May 1966,0,
john-smith-ii,John Smith (ii),1966-05-03,1969-05-06,elected,term_expired,139,Lerwick Town Council Election May 1966,0,
magnus-shearer-ii,Magnus Shearer (ii),1966-05-03,1969-05-06,elected,term_expired,139,Lerwick Town Council Election May 1966,0,
george-blance,George Blance,1967-05-02,1970-05-05,elected,term_expired,140,Lerwick Town Council Election May 1967,0,
james-taylor,James Taylor,1967-05-02,1970-05-05,elected,term_expired,140,Lerwick Town Council Election May 1967,0,
peter-robertson,Peter Robertson,1967-05-02,1970-05-05,elected,term_expired,140,Lerwick Town Council Election May 1967,0,
william-smith-iv,William Smith (iv),1967-05-02,1970-05-05,elected,term_expired,140,Lerwick Town Council Election May 1967,0,
grace-halcrow,Grace Halcrow,1967-05-12,1968-05-02,by-election,term_expired,141,Lerwick Town Council By-Election May 1967,0,
ronald-cumming,Ronald Cumming,1967-08-08,1968-05-02,by-election,term_expired,142,Lerwick Town Council By-Election August 1967,0,
grace-halcrow,Grace Halcrow,1968-05-02,1971-05-04,elected,term_expired,143,Lerwick Town Council Election May 1968,0,
harry-gray,Harry Gray,1968-05-02,1971-05-04,elected,term_expired,143,Lerwick Town Council Election May 1968,0,
ronald-cumming,Ronald Cumming,1968-05-02,1971-05-04,elected,term_expired,143,Lerwick Town Council Election May 1968,0,
william-thomson-iii,William Thomson (iii),1968-05-02,1971-05-04,elected,term_expired,143,Lerwick Town Council Election May 1968,0,
alexander-morrison,Alexander Morrison,1969-05-06,1972-05-02,elected,term_expired,144,Lerwick Town Council Election May 1969,0,
james-paton-i,James Paton (i),1969-05-06,1972-05-02,elected,term_expired,144,Lerwick Town Council Election May 1969,0,
john-smith-ii,John Smith (ii),1969-05-06,1970-08-08,elected,replaced,144,Lerwick Town Council Election May 1969,0,
william-smith-iv,William Smith (iv),1969-05-06,1972-05-02,elected,term_expired,144,Lerwick Town Council Election May 1969,0,
andrew-tait,Andrew Tait,1970-05-05,1973-05-01,elected,term_expired,145,Lerwick Town Council Election May 1970,0,
george-blance,George Blance,1970-05-05,1973-05-01,elected,term_expired,145,Lerwick Town Council Election May 1970,0,
james-taylor,James Taylor,1970-05-05,1973-05-01,elected,term_expired,145,Lerwick Town Council Election May 1970,0,
william-peterson,William Peterson,1970-05-05,1973-05-01,elected,term_expired,145,Lerwick Town Council Election May 1970,0,
robert-adair,Robert Adair,1970-08-08,1971-05-04,by-election,term_expired,146,Lerwick Town Council By-Election May 1970,0,
eric-gray,Eric Gray,1971-05-04,1975-05-15,elected,council_abolished,147,Lerwick Town Council Election May 1971,0,
harry-gray,Harry Gray,1971-05-04,1975-05-15,elected,council_abolished,147,Lerwick Town Council Election May 1971,0,
john-butler,John Butler,1971-05-04,1972-05-02,elected,term_expired,147,Lerwick Town Council Election May 1971,0,
robert-adair,Robert Adair,1971-05-04,1975-05-15,elected,council_abolished,147,Lerwick Town Council Election May 1971,0,
ronald-cumming,Ronald Cumming,1971-05-04,1975-05-15,elected,council_abolished,147,Lerwick Town Council Election May 1971,0,
alexander-morrison,Alexander Morrison,1972-05-02,1975-05-15,elected,council_abolished,148,Lerwick Town Council Election May 1972,0,
james-paton-i,James Paton (i),1972-05-02,1975-05-15,elected,council_abolished,148,Lerwick Town Council Election May 1972,0,
peter-laurenson,Peter Laurenson,1972-05-02,1975-05-15,elected,council_abolished,148,Lerwick Town Council Election May 1972,0,
william-peterson,William Peterson,1972-05-02,1975-05-15,elected,council_abolished,148,Lerwick Town Council Election May 1972,0,
eric-gray,Eric Gray,1973-05-01,1975-05-15,elected,council_abolished,149,Lerwick Town Council Election May 1973,0,
george-blance,George Blance,1973-05-01,1975-05-15,elected,council_abolished,149,Lerwick Town Council Election May 1973,0,
james-taylor,James Taylor,1973-05-01,1975-05-15,elected,council_abolished,149,Lerwick Town Council Election May 1973,0,
john-butler,John Butler,1973-05-01,1975-05-15,elected,council_abolished,149,Lerwick Town Council Election May 1973,0,
